GET 304 /api/game/2  290.194 ms - Mon, 08 Feb 2021 19:52:51 GMT
GET 304 /api/game/2  178.311 ms - Mon, 08 Feb 2021 19:53:44 GMT
GET 304 /api/game/2  111.356 ms - Mon, 08 Feb 2021 19:53:58 GMT
GET 304 /api/game/2  248.739 ms - Mon, 08 Feb 2021 19:54:04 GMT
GET 304 /api/game/2  205.277 ms - Mon, 08 Feb 2021 19:54:15 GMT
GET 200 /api/game/  305.846 ms - Mon, 08 Feb 2021 20:03:24 GMT
GET 304 /api/game/  410.170 ms - Mon, 08 Feb 2021 20:03:28 GMT
GET 304 /api/game/  1913.795 ms - Mon, 08 Feb 2021 20:03:34 GMT
GET 304 /api/game/  4603.523 ms - Mon, 08 Feb 2021 20:03:41 GMT
GET 304 /api/game/  3013.727 ms - Mon, 08 Feb 2021 20:03:47 GMT
GET 304 /api/game/  299.836 ms - Mon, 08 Feb 2021 20:03:49 GMT
GET 304 /api/game/  236.383 ms - Mon, 08 Feb 2021 20:03:53 GMT
GET 304 /api/game/  312.782 ms - Mon, 08 Feb 2021 20:03:58 GMT
GET 200 /api/game/  537.527 ms - Mon, 08 Feb 2021 20:05:12 GMT
GET 304 /api/game/  266.272 ms - Mon, 08 Feb 2021 20:05:26 GMT
GET 304 /api/game/  223.130 ms - Mon, 08 Feb 2021 20:06:11 GMT
GET 304 /api/game/  467.298 ms - Mon, 08 Feb 2021 20:06:18 GMT
GET 200 /api/game/  1751.498 ms - Mon, 08 Feb 2021 20:06:58 GMT
GET 200 /api/game/  244.458 ms - Mon, 08 Feb 2021 20:07:02 GMT
GET 200 /api/game/  244.475 ms - Mon, 08 Feb 2021 20:07:05 GMT
GET 200 /api/game/  324.440 ms - Mon, 08 Feb 2021 20:07:08 GMT
GET 200 /api/game/  313.377 ms - Mon, 08 Feb 2021 20:07:23 GMT
GET 304 /api/game/  266.046 ms - Mon, 08 Feb 2021 20:07:27 GMT
OPTIONS 204 /api/game  2.513 ms - Mon, 08 Feb 2021 20:19:07 GMT
POST 200 /api/game  214.588 ms - Mon, 08 Feb 2021 20:19:07 GMT
OPTIONS 204 /api/game  0.127 ms - Mon, 08 Feb 2021 20:21:50 GMT
POST 200 /api/game  175.994 ms - Mon, 08 Feb 2021 20:21:50 GMT
OPTIONS 204 /api/login  3.311 ms - Tue, 09 Feb 2021 16:22:32 GMT
POST 200 /api/login  595.861 ms - Tue, 09 Feb 2021 16:22:32 GMT
GET 200 /api/game/  284.852 ms - Tue, 09 Feb 2021 16:22:50 GMT
GET 200 /api/game/  452.705 ms - Tue, 09 Feb 2021 16:22:54 GMT
GET 200 /api/game/  258.882 ms - Tue, 09 Feb 2021 16:22:56 GMT
GET 200 /api/game/  226.671 ms - Tue, 09 Feb 2021 16:23:00 GMT
GET 304 /api/game/  290.932 ms - Tue, 09 Feb 2021 16:23:09 GMT
OPTIONS 204 /api/login  2.610 ms - Tue, 09 Feb 2021 16:51:32 GMT
OPTIONS 204 /api/login  5.164 ms - Tue, 09 Feb 2021 16:52:01 GMT
OPTIONS 204 /api/login  5.503 ms - Tue, 09 Feb 2021 16:52:23 GMT
GET 200 /api/game/  456.335 ms - Tue, 09 Feb 2021 16:52:26 GMT
